"","N","n","run","alpha0","sd_data","sigma","KL"
"1",500,25,10,0.5,7.15922940148054,0,188.567380459057
"2",500,25,10,0.5,7.15922940148054,0.375,176.15851709013
"3",500,25,10,0.5,7.15922940148054,0.75,141.716232584437
"4",500,25,10,0.5,7.15922940148054,1.125,120.39213822869
"5",500,25,10,0.5,7.15922940148054,1.5,90.0164302657938
"6",500,25,10,0.5,7.15922940148054,1.875,62.8964793987558
"7",500,25,10,0.5,7.15922940148054,2.25,48.351207654327
"8",500,25,10,0.5,7.15922940148054,2.625,34.7160330918718
"9",500,25,10,0.5,7.15922940148054,3,26.679505781695
"10",500,25,10,0.5,7.15922940148054,3.375,19.0564358192611
"11",500,25,10,0.5,7.15922940148054,3.75,13.5892137870284
"12",500,25,10,0.5,7.15922940148054,4.125,10.260150597806
"13",500,25,10,0.5,7.15922940148054,4.5,9.25731433235318
"14",500,25,10,0.5,7.15922940148054,4.875,7.83908874124296
"15",500,25,10,0.5,7.15922940148054,5.25,6.66565401273941
"16",500,25,10,0.5,7.15922940148054,5.625,5.86020148431527
"17",500,25,10,0.5,7.15922940148054,6,5.69172154677177
"18",500,25,10,0.5,7.15922940148054,6.375,5.28476858249928
"19",500,25,10,0.5,7.15922940148054,6.75,5.24682321067857
"20",500,25,10,0.5,7.15922940148054,7.125,5.20241108212677
"21",500,25,10,0.5,7.15922940148054,7.5,5.14245493087428
"22",500,25,10,0.5,7.15922940148054,7.875,5.12710626161003
"23",500,25,10,0.5,7.15922940148054,8.25,5.18006786513476
"24",500,25,10,0.5,7.15922940148054,8.625,5.36931808105821
"25",500,25,10,0.5,7.15922940148054,9,5.47767956445298
"26",500,25,10,0.5,7.15922940148054,9.375,5.50003536901148
"27",500,25,10,0.5,7.15922940148054,9.75,5.80545237188119
"28",500,25,10,0.5,7.15922940148054,10.125,5.84536845326723
"29",500,25,10,0.5,7.15922940148054,10.5,6.02457500032105
"30",500,25,10,0.5,7.15922940148054,10.875,6.10072498404984
