"","N","n","run","alpha0","sd_data","sigma","KL"
"1",100,20,10,0.5,5.73783776342959,0,77.1248899917786
"2",100,20,10,0.5,5.73783776342959,0.3,76.6052156225628
"3",100,20,10,0.5,5.73783776342959,0.6,70.4760342288107
"4",100,20,10,0.5,5.73783776342959,0.9,65.2547461937347
"5",100,20,10,0.5,5.73783776342959,1.2,61.5626960134921
"6",100,20,10,0.5,5.73783776342959,1.5,52.7809106724965
"7",100,20,10,0.5,5.73783776342959,1.8,47.5141187467775
"8",100,20,10,0.5,5.73783776342959,2.1,42.5081342918367
"9",100,20,10,0.5,5.73783776342959,2.4,34.5980834825382
"10",100,20,10,0.5,5.73783776342959,2.7,31.1616248037341
"11",100,20,10,0.5,5.73783776342959,3,25.4317659499545
"12",100,20,10,0.5,5.73783776342959,3.3,23.1162900792498
"13",100,20,10,0.5,5.73783776342959,3.6,17.955388928171
"14",100,20,10,0.5,5.73783776342959,3.9,15.8844528657827
"15",100,20,10,0.5,5.73783776342959,4.2,12.1324685352742
"16",100,20,10,0.5,5.73783776342959,4.5,10.5541151683211
"17",100,20,10,0.5,5.73783776342959,4.8,9.70551840543758
"18",100,20,10,0.5,5.73783776342959,5.1,8.28490740575888
"19",100,20,10,0.5,5.73783776342959,5.4,7.14038583985095
"20",100,20,10,0.5,5.73783776342959,5.7,6.53872995187086
"21",100,20,10,0.5,5.73783776342959,6,5.82811702338857
"22",100,20,10,0.5,5.73783776342959,6.3,4.88218279049024
"23",100,20,10,0.5,5.73783776342959,6.6,4.62197500673737
"24",100,20,10,0.5,5.73783776342959,6.9,4.37884374625126
"25",100,20,10,0.5,5.73783776342959,7.2,3.96361499947088
"26",100,20,10,0.5,5.73783776342959,7.5,3.71593333080605
"27",100,20,10,0.5,5.73783776342959,7.8,3.59759997868078
"28",100,20,10,0.5,5.73783776342959,8.1,3.36517960769561
"29",100,20,10,0.5,5.73783776342959,8.4,3.16973439868801
"30",100,20,10,0.5,5.73783776342959,8.7,3.06492636988727
"31",100,20,10,0.5,5.73783776342959,9,2.87380007852913
"32",100,20,10,0.5,5.73783776342959,9.3,2.77908501125735
"33",100,20,10,0.5,5.73783776342959,9.6,2.67268175615922
"34",100,20,10,0.5,5.73783776342959,9.9,2.60295481874797
"35",100,20,10,0.5,5.73783776342959,10.2,2.54689165616731
"36",100,20,10,0.5,5.73783776342959,10.5,2.45492296575029
"37",100,20,10,0.5,5.73783776342959,10.8,2.3196388578435
"38",100,20,10,0.5,5.73783776342959,11.1,2.26374491587063
"39",100,20,10,0.5,5.73783776342959,11.4,2.2268174143395
"40",100,20,10,0.5,5.73783776342959,11.7,2.25075732932182
"41",100,20,10,0.5,5.73783776342959,12,2.18565626043594
"42",100,20,10,0.5,5.73783776342959,12.3,2.15725277755524
"43",100,20,10,0.5,5.73783776342959,12.6,2.10566432731999
"44",100,20,10,0.5,5.73783776342959,12.9,2.01562711521387
"45",100,20,10,0.5,5.73783776342959,13.2,2.08525589504923
"46",100,20,10,0.5,5.73783776342959,13.5,2.03092372309559
"47",100,20,10,0.5,5.73783776342959,13.8,2.02002482999312
"48",100,20,10,0.5,5.73783776342959,14.1,2.03355990138759
"49",100,20,10,0.5,5.73783776342959,14.4,1.98104832418898
"50",100,20,10,0.5,5.73783776342959,14.7,1.88736475802598
"51",100,20,10,0.5,5.73783776342959,15,1.92486484677091
"52",100,20,10,0.5,5.73783776342959,15.3,1.89855053845983
"53",100,20,10,0.5,5.73783776342959,15.6,1.94642464373956
"54",100,20,10,0.5,5.73783776342959,15.9,1.92072562618453
"55",100,20,10,0.5,5.73783776342959,16.2,1.86914484768487
"56",100,20,10,0.5,5.73783776342959,16.5,1.89564270814666
"57",100,20,10,0.5,5.73783776342959,16.8,1.88106558558474
"58",100,20,10,0.5,5.73783776342959,17.1,1.84645104785081
"59",100,20,10,0.5,5.73783776342959,17.4,1.86582493548039
"60",100,20,10,0.5,5.73783776342959,17.7,1.89476673130671
"61",100,20,10,0.5,5.73783776342959,18,1.83931373697885
"62",100,20,10,0.5,5.73783776342959,18.3,1.83689114247613
"63",100,20,10,0.5,5.73783776342959,18.6,1.78454902913696
"64",100,20,10,0.5,5.73783776342959,18.9,1.87339102618146
"65",100,20,10,0.5,5.73783776342959,19.2,1.81905319119382
"66",100,20,10,0.5,5.73783776342959,19.5,1.83807760957642
"67",100,20,10,0.5,5.73783776342959,19.8,1.83669878269634
"68",100,20,10,1,5.58780830089829,0,41.849621583459
"69",100,20,10,1,5.58780830089829,0.3,37.6191510648279
"70",100,20,10,1,5.58780830089829,0.6,39.0946638820392
"71",100,20,10,1,5.58780830089829,0.9,31.5563397445109
"72",100,20,10,1,5.58780830089829,1.2,22.7722743694269
"73",100,20,10,1,5.58780830089829,1.5,16.6189063647378
"74",100,20,10,1,5.58780830089829,1.8,15.3273643982758
"75",100,20,10,1,5.58780830089829,2.1,10.8811274326422
"76",100,20,10,1,5.58780830089829,2.4,8.6087394631292
"77",100,20,10,1,5.58780830089829,2.7,6.99794247487888
"78",100,20,10,1,5.58780830089829,3,5.49410101402004
"79",100,20,10,1,5.58780830089829,3.3,4.25067741494224
"80",100,20,10,1,5.58780830089829,3.6,3.66380544256429
"81",100,20,10,1,5.58780830089829,3.9,3.00731406864165
"82",100,20,10,1,5.58780830089829,4.2,2.79141540546555
"83",100,20,10,1,5.58780830089829,4.5,2.72236854446289
"84",100,20,10,1,5.58780830089829,4.8,2.62091820404352
"85",100,20,10,1,5.58780830089829,5.1,2.63133910167094
"86",100,20,10,1,5.58780830089829,5.4,2.63241395002458
"87",100,20,10,1,5.58780830089829,5.7,2.59695033976416
"88",100,20,10,1,5.58780830089829,6,2.79929906980103
"89",100,20,10,1,5.58780830089829,6.3,2.9664038696916
"90",100,20,10,1,5.58780830089829,6.6,3.00277810019055
"91",100,20,10,1,5.58780830089829,6.9,3.20191135769539
"92",100,20,10,1,5.58780830089829,7.2,3.34152185065397
"93",100,20,10,1,5.58780830089829,7.5,3.45373831666945
"94",100,20,10,1,5.58780830089829,7.8,3.53588764258342
"95",100,20,10,1,5.58780830089829,8.1,3.69698776481629
"96",100,20,10,1,5.58780830089829,8.4,3.85686314957971
"97",100,20,10,1,5.58780830089829,8.7,3.90272009917979
"98",100,20,10,1,5.58780830089829,9,4.08195818207207
"99",100,20,10,1,5.58780830089829,9.3,4.24492518797074
"100",100,20,10,1,5.58780830089829,9.6,4.32072561141934
"101",100,20,10,1,5.58780830089829,9.9,4.33826321144392
"102",100,20,10,1,5.58780830089829,10.2,4.63086540834917
"103",100,20,10,1,5.58780830089829,10.5,4.69735891183726
"104",100,20,10,1,5.58780830089829,10.8,4.69609042208709
"105",100,20,10,1,5.58780830089829,11.1,4.90556833532914
"106",100,20,10,1,5.58780830089829,11.4,5.05918503214546
"107",100,20,10,1,5.58780830089829,11.7,5.04340570369673
"108",100,20,10,1,5.58780830089829,12,5.19694529361847
"109",100,20,10,1,5.58780830089829,12.3,5.3460290569958
"110",100,20,10,1,5.58780830089829,12.6,5.36825663543469
"111",100,20,10,1,5.58780830089829,12.9,5.32748238291219
"112",100,20,10,1,5.58780830089829,13.2,5.52744510996085
"113",100,20,10,1,5.58780830089829,13.5,5.57773779913449
"114",100,20,10,1,5.58780830089829,13.8,5.68268427966231
"115",100,20,10,1,5.58780830089829,14.1,5.74191475199448
"116",100,20,10,1,5.58780830089829,14.4,5.76099509041847
"117",100,20,10,1,5.58780830089829,14.7,5.83571841844894
"118",100,20,10,1,5.58780830089829,15,6.02829015908616
"119",100,20,10,1,5.58780830089829,15.3,6.02523206798281
"120",100,20,10,1,5.58780830089829,15.6,6.04737347408695
"121",100,20,10,1,5.58780830089829,15.9,6.1093032775636
"122",100,20,10,1,5.58780830089829,16.2,6.18051624921922
"123",100,20,10,1,5.58780830089829,16.5,6.27165415878475
"124",100,20,10,1,5.58780830089829,16.8,6.29376291974582
"125",100,20,10,1,5.58780830089829,17.1,6.41461618742776
"126",100,20,10,1,5.58780830089829,17.4,6.44829349660217
"127",100,20,10,1,5.58780830089829,17.7,6.38780481531583
"128",100,20,10,1,5.58780830089829,18,6.46385560942691
"129",100,20,10,1,5.58780830089829,18.3,6.57028855601806
"130",100,20,10,1,5.58780830089829,18.6,6.5908304564073
"131",100,20,10,1,5.58780830089829,18.9,6.68576982649291
