"","N","n","run","alpha0","sd_data","sigma","KL"
"1",500,50,10,0.5,13.9311954830044,0,363.029148222643
"2",500,50,10,0.5,13.9311954830044,0.75,335.763996920132
"3",500,50,10,0.5,13.9311954830044,1.5,267.769752490659
"4",500,50,10,0.5,13.9311954830044,2.25,188.86619349934
"5",500,50,10,0.5,13.9311954830044,3,132.498321489906
"6",500,50,10,0.5,13.9311954830044,3.75,97.9800075073064
"7",500,50,10,0.5,13.9311954830044,4.5,63.192802213772
"8",500,50,10,0.5,13.9311954830044,5.25,44.9763679826679
"9",500,50,10,0.5,13.9311954830044,6,34.0375760225556
"10",500,50,10,0.5,13.9311954830044,6.75,26.66365722695
"11",500,50,10,0.5,13.9311954830044,7.5,20.6661949949934
"12",500,50,10,0.5,13.9311954830044,8.25,17.621859897853
"13",500,50,10,0.5,13.9311954830044,9,16.5084597423974
"14",500,50,10,0.5,13.9311954830044,9.75,14.6380882433209
"15",500,50,10,0.5,13.9311954830044,10.5,14.4795783775715
"16",500,50,10,0.5,13.9311954830044,11.25,13.9912670755563
"17",500,50,10,0.5,13.9311954830044,12,14.3410221473641
"18",500,50,10,0.5,13.9311954830044,12.75,14.241140080535
"19",500,50,10,0.5,13.9311954830044,13.5,14.6455191183475
"20",500,50,10,0.5,13.9311954830044,14.25,15.0175048927672
"21",500,50,10,0.5,13.9311954830044,15,15.4093708058357
"22",500,50,10,0.5,13.9311954830044,15.75,16.0269470160458
"23",500,50,10,0.5,13.9311954830044,16.5,16.482247177195
"24",500,50,10,0.5,13.9311954830044,17.25,16.9076640556351
"25",500,50,10,0.5,13.9311954830044,18,17.3653579867964
"26",500,50,10,0.5,13.9311954830044,18.75,17.9078973479169
"27",500,50,10,0.5,13.9311954830044,19.5,18.2918417195962
"28",500,50,10,0.5,13.9311954830044,20.25,18.706346028404
"29",500,50,10,0.5,13.9311954830044,21,19.3041630604447
"30",500,50,10,0.5,13.9311954830044,21.75,19.6081737248694
"31",500,50,10,0.5,13.9311954830044,22.5,20.1227833410952
"32",500,50,10,0.5,13.9311954830044,23.25,20.5001855157371
"33",500,50,10,0.5,13.9311954830044,24,20.9485873039419
"34",500,50,10,0.5,13.9311954830044,24.75,21.2308076026723
"35",500,50,10,0.5,13.9311954830044,25.5,21.7105105258295
"36",500,50,10,0.5,13.9311954830044,26.25,22.1084607598619
"37",500,50,10,0.5,13.9311954830044,27,22.4998016730963
"38",500,50,10,0.5,13.9311954830044,27.75,22.5823155643516
"39",500,50,10,0.5,13.9311954830044,28.5,23.1348690781757
"40",500,50,10,0.5,13.9311954830044,29.25,23.4053728785915
"41",500,50,10,0.5,13.9311954830044,30,23.5792852621253
"42",500,50,10,0.5,13.9311954830044,30.75,23.9599153093791
"43",500,50,10,0.5,13.9311954830044,31.5,24.2846338979826
"44",500,50,10,0.5,13.9311954830044,32.25,24.3273764447938
"45",500,50,10,0.5,13.9311954830044,33,24.8203141922825
"46",500,50,10,0.5,13.9311954830044,33.75,25.0328296869762
"47",500,50,10,0.5,13.9311954830044,34.5,25.269446515274
"48",500,50,10,0.5,13.9311954830044,35.25,25.556316580861
"49",500,50,10,0.5,13.9311954830044,36,25.8725912941836
"50",500,50,10,0.5,13.9311954830044,36.75,26.1403038447395
"51",500,50,10,0.5,13.9311954830044,37.5,26.3153039361537
"52",500,50,10,0.5,13.9311954830044,38.25,26.3256187546732
"53",500,50,10,0.5,13.9311954830044,39,26.6759306819918
"54",500,50,10,0.5,13.9311954830044,39.75,26.8590252828553
"55",500,50,10,0.5,13.9311954830044,40.5,26.960921635989
"56",500,50,10,0.5,13.9311954830044,41.25,27.1923757897321
"57",500,50,10,0.5,13.9311954830044,42,27.2596456929707
"58",500,50,10,0.5,13.9311954830044,42.75,27.518845599619
"59",500,50,10,0.5,13.9311954830044,43.5,27.709274382846
"60",500,50,10,0.5,13.9311954830044,44.25,28.0879674612356
"61",500,50,10,0.5,13.9311954830044,45,28.0817126004127
"62",500,50,10,0.5,13.9311954830044,45.75,27.9288829944343
"63",500,50,10,0.5,13.9311954830044,46.5,28.3231034930023
"64",500,50,10,0.5,13.9311954830044,47.25,28.3924928983211
"65",500,50,10,0.5,13.9311954830044,48,28.5937507902474
"66",500,50,10,0.5,13.9311954830044,48.75,28.6133940153056
"67",500,50,10,0.5,13.9311954830044,49.5,28.9648840770288
"68",500,50,10,1,13.7618472348271,0,493.228369460665
"69",500,50,10,1,13.7618472348271,0.75,419.435473741163
"70",500,50,10,1,13.7618472348271,1.5,296.940826543239
"71",500,50,10,1,13.7618472348271,2.25,215.700319998739
"72",500,50,10,1,13.7618472348271,3,156.399587891083
"73",500,50,10,1,13.7618472348271,3.75,107.839304638376
"74",500,50,10,1,13.7618472348271,4.5,89.2346115225651
"75",500,50,10,1,13.7618472348271,5.25,69.8314124805464
"76",500,50,10,1,13.7618472348271,6,53.3576170561687
"77",500,50,10,1,13.7618472348271,6.75,45.3245943230453
"78",500,50,10,1,13.7618472348271,7.5,40.5664543579809
"79",500,50,10,1,13.7618472348271,8.25,34.67820771698
"80",500,50,10,1,13.7618472348271,9,33.3283141209623
"81",500,50,10,1,13.7618472348271,9.75,31.2703393407774
"82",500,50,10,1,13.7618472348271,10.5,30.5178849213765
"83",500,50,10,1,13.7618472348271,11.25,30.4669956173253
"84",500,50,10,1,13.7618472348271,12,28.9419583647881
"85",500,50,10,1,13.7618472348271,12.75,30.9483026164304
"86",500,50,10,1,13.7618472348271,13.5,29.6243222249614
"87",500,50,10,1,13.7618472348271,14.25,30.0796572063801
"88",500,50,10,1,13.7618472348271,15,30.6515812740726
"89",500,50,10,1,13.7618472348271,15.75,30.9459640425652
"90",500,50,10,1,13.7618472348271,16.5,31.4744023104616
"91",500,50,10,1,13.7618472348271,17.25,32.1689389666197
"92",500,50,10,1,13.7618472348271,18,32.8053604416297
"93",500,50,10,1,13.7618472348271,18.75,32.9182419561928
"94",500,50,10,1,13.7618472348271,19.5,33.8423105721828
"95",500,50,10,1,13.7618472348271,20.25,34.1893730263304
"96",500,50,10,1,13.7618472348271,21,34.6164601691152
"97",500,50,10,1,13.7618472348271,21.75,35.0874647220979
"98",500,50,10,1,13.7618472348271,22.5,35.6110037766478
"99",500,50,10,1,13.7618472348271,23.25,36.2522214880056
"100",500,50,10,1,13.7618472348271,24,36.4520268307019
"101",500,50,10,1,13.7618472348271,24.75,36.9315617805293
"102",500,50,10,1,13.7618472348271,25.5,37.3798296076094
"103",500,50,10,1,13.7618472348271,26.25,37.7305946935442
"104",500,50,10,1,13.7618472348271,27,37.9155131989852
"105",500,50,10,1,13.7618472348271,27.75,38.4457382805045
"106",500,50,10,1,13.7618472348271,28.5,38.9366459310064
"107",500,50,10,1,13.7618472348271,29.25,39.0577064540637
"108",500,50,10,1,13.7618472348271,30,39.3724075275675
"109",500,50,10,1,13.7618472348271,30.75,39.816371505364
"110",500,50,10,1,13.7618472348271,31.5,40.2063240503381
"111",500,50,10,1,13.7618472348271,32.25,40.4931965319222
"112",500,50,10,1,13.7618472348271,33,40.6756985695095
"113",500,50,10,1,13.7618472348271,33.75,40.9557602858532
"114",500,50,10,1,13.7618472348271,34.5,41.3906908602291
"115",500,50,10,1,13.7618472348271,35.25,41.231260640454
"116",500,50,10,1,13.7618472348271,36,41.8613309854533
"117",500,50,10,1,13.7618472348271,36.75,41.8218982751914
"118",500,50,10,1,13.7618472348271,37.5,42.2496030108722
"119",500,50,10,1,13.7618472348271,38.25,42.3804215509196
"120",500,50,10,1,13.7618472348271,39,42.498739422921
"121",500,50,10,1,13.7618472348271,39.75,42.8168342918958
"122",500,50,10,1,13.7618472348271,40.5,42.9822483985258
"123",500,50,10,1,13.7618472348271,41.25,43.2693047305529
"124",500,50,10,1,13.7618472348271,42,43.3471354449592
"125",500,50,10,1,13.7618472348271,42.75,43.8487679019579
"126",500,50,10,1,13.7618472348271,43.5,43.8817985497918
"127",500,50,10,1,13.7618472348271,44.25,43.9563659369623
"128",500,50,10,1,13.7618472348271,45,44.351726312216
"129",500,50,10,1,13.7618472348271,45.75,44.5609534352438
"130",500,50,10,1,13.7618472348271,46.5,44.665892041176
"131",500,50,10,1,13.7618472348271,47.25,45.0177505712271
"132",500,50,10,1,13.7618472348271,48,44.996469677511
"133",500,50,10,1,13.7618472348271,48.75,45.0212950176034
"134",500,50,10,1,13.7618472348271,49.5,44.9827613750419
"135",500,50,10,1.5,13.0511705505186,0,342.363481833278
"136",500,50,10,1.5,13.0511705505186,0.75,270.942308059511
"137",500,50,10,1.5,13.0511705505186,1.5,162.557811888307
"138",500,50,10,1.5,13.0511705505186,2.25,101.078275222387
"139",500,50,10,1.5,13.0511705505186,3,63.2345325719983
"140",500,50,10,1.5,13.0511705505186,3.75,43.1932005318027
"141",500,50,10,1.5,13.0511705505186,4.5,37.8741561365816
"142",500,50,10,1.5,13.0511705505186,5.25,32.9294754357189
"143",500,50,10,1.5,13.0511705505186,6,31.4377583258121
"144",500,50,10,1.5,13.0511705505186,6.75,31.5819162140445
"145",500,50,10,1.5,13.0511705505186,7.5,32.7164666180536
"146",500,50,10,1.5,13.0511705505186,8.25,33.5428861066408
"147",500,50,10,1.5,13.0511705505186,9,34.857366352141
"148",500,50,10,1.5,13.0511705505186,9.75,36.4395205029611
"149",500,50,10,1.5,13.0511705505186,10.5,37.7783621441261
"150",500,50,10,1.5,13.0511705505186,11.25,39.4865541941546
"151",500,50,10,1.5,13.0511705505186,12,40.7909191798589
"152",500,50,10,1.5,13.0511705505186,12.75,42.1950201601034
"153",500,50,10,1.5,13.0511705505186,13.5,43.5017095121741
"154",500,50,10,1.5,13.0511705505186,14.25,44.7764372251699
"155",500,50,10,1.5,13.0511705505186,15,45.827946943486
"156",500,50,10,1.5,13.0511705505186,15.75,47.3817929515561
"157",500,50,10,1.5,13.0511705505186,16.5,48.5109356130108
"158",500,50,10,1.5,13.0511705505186,17.25,49.2153886222877
"159",500,50,10,1.5,13.0511705505186,18,50.4038670892965
"160",500,50,10,1.5,13.0511705505186,18.75,51.0824466204712
"161",500,50,10,1.5,13.0511705505186,19.5,51.8885479518806
"162",500,50,10,1.5,13.0511705505186,20.25,52.5866440492074
"163",500,50,10,1.5,13.0511705505186,21,54.0888235415624
"164",500,50,10,1.5,13.0511705505186,21.75,54.5705011184069
"165",500,50,10,1.5,13.0511705505186,22.5,55.3149340770657
"166",500,50,10,1.5,13.0511705505186,23.25,55.9400893837448
"167",500,50,10,1.5,13.0511705505186,24,56.9334473769369
"168",500,50,10,1.5,13.0511705505186,24.75,57.6137186618236
"169",500,50,10,1.5,13.0511705505186,25.5,57.9609988956074
"170",500,50,10,1.5,13.0511705505186,26.25,58.4720219450624
"171",500,50,10,1.5,13.0511705505186,27,59.5503109415982
"172",500,50,10,1.5,13.0511705505186,27.75,60.0175352053089
"173",500,50,10,1.5,13.0511705505186,28.5,60.8035523477332
"174",500,50,10,1.5,13.0511705505186,29.25,60.9298980472023
"175",500,50,10,1.5,13.0511705505186,30,61.7988529184117
"176",500,50,10,1.5,13.0511705505186,30.75,61.7071022821207
"177",500,50,10,1.5,13.0511705505186,31.5,62.6022964741628
"178",500,50,10,1.5,13.0511705505186,32.25,63.0660304303035
"179",500,50,10,1.5,13.0511705505186,33,63.5062448536615
"180",500,50,10,1.5,13.0511705505186,33.75,63.7392143970186
"181",500,50,10,1.5,13.0511705505186,34.5,64.5673332911163
"182",500,50,10,1.5,13.0511705505186,35.25,65.471097262998
"183",500,50,10,1.5,13.0511705505186,36,65.845498109774
"184",500,50,10,1.5,13.0511705505186,36.75,65.9589623557054
"185",500,50,10,1.5,13.0511705505186,37.5,66.0451431332588
"186",500,50,10,1.5,13.0511705505186,38.25,66.5525684383134
"187",500,50,10,1.5,13.0511705505186,39,66.9213589554505
"188",500,50,10,1.5,13.0511705505186,39.75,67.2477230247876
"189",500,50,10,1.5,13.0511705505186,40.5,67.1341649919808
"190",500,50,10,1.5,13.0511705505186,41.25,67.8518024314886
"191",500,50,10,1.5,13.0511705505186,42,67.8125260822018
"192",500,50,10,1.5,13.0511705505186,42.75,68.2304775719017
"193",500,50,10,1.5,13.0511705505186,43.5,68.4660236726044
"194",500,50,10,1.5,13.0511705505186,44.25,69.0090144374072
"195",500,50,10,1.5,13.0511705505186,45,69.204285856627
"196",500,50,10,1.5,13.0511705505186,45.75,69.1946303087326
"197",500,50,10,1.5,13.0511705505186,46.5,69.547821306184
"198",500,50,10,1.5,13.0511705505186,47.25,69.9684127501334
"199",500,50,10,1.5,13.0511705505186,48,69.7555382453998
"200",500,50,10,1.5,13.0511705505186,48.75,70.4428731380241
"201",500,50,10,1.5,13.0511705505186,49.5,70.7233728752682
"202",500,50,10,2,12.7189156421921,0,313.25412675464
"203",500,50,10,2,12.7189156421921,0.75,223.422005109782
"204",500,50,10,2,12.7189156421921,1.5,143.678667303726
"205",500,50,10,2,12.7189156421921,2.25,97.8622541578096
"206",500,50,10,2,12.7189156421921,3,72.2562672470979
"207",500,50,10,2,12.7189156421921,3.75,49.1240446189723
"208",500,50,10,2,12.7189156421921,4.5,50.0242850593585
