"","N","n","run","alpha0","sd_data","sigma","KL"
"1",500,10,10,0.5,2.85728508361873,0,57.2592219091129
"2",500,10,10,0.5,2.85728508361873,0.15,61.2850158223865
"3",500,10,10,0.5,2.85728508361873,0.3,24.814910527274
"4",500,10,10,0.5,2.85728508361873,0.45,18.2528874259206
"5",500,10,10,0.5,2.85728508361873,0.6,15.3317983588513
"6",500,10,10,0.5,2.85728508361873,0.75,8.29495466498546
"7",500,10,10,0.5,2.85728508361873,0.9,6.30378548548845
"8",500,10,10,0.5,2.85728508361873,1.05,4.94989086536967
"9",500,10,10,0.5,2.85728508361873,1.2,4.47227982971229
"10",500,10,10,0.5,2.85728508361873,1.35,4.06338358845789
"11",500,10,10,0.5,2.85728508361873,1.5,3.49061886093001
"12",500,10,10,0.5,2.85728508361873,1.65,3.28833871303749
"13",500,10,10,0.5,2.85728508361873,1.8,3.13729972893012
"14",500,10,10,0.5,2.85728508361873,1.95,3.21438856789777
"15",500,10,10,0.5,2.85728508361873,2.1,3.27295331377818
"16",500,10,10,0.5,2.85728508361873,2.25,3.36706452179367
"17",500,10,10,0.5,2.85728508361873,2.4,3.32797438748336
"18",500,10,10,0.5,2.85728508361873,2.55,3.44809068935374
"19",500,10,10,0.5,2.85728508361873,2.7,3.6049659379905
"20",500,10,10,0.5,2.85728508361873,2.85,3.83641602576112
"21",500,10,10,0.5,2.85728508361873,3,3.76150041265201
"22",500,10,10,0.5,2.85728508361873,3.15,3.99685648223897
"23",500,10,10,0.5,2.85728508361873,3.3,4.11695925171019
"24",500,10,10,0.5,2.85728508361873,3.45,4.16077160471552
"25",500,10,10,0.5,2.85728508361873,3.6,4.33024217465229
"26",500,10,10,0.5,2.85728508361873,3.75,4.33823794454721
"27",500,10,10,0.5,2.85728508361873,3.9,4.54800149532996
"28",500,10,10,0.5,2.85728508361873,4.05,4.51843359756689
"29",500,10,10,0.5,2.85728508361873,4.2,4.70234242380043
"30",500,10,10,0.5,2.85728508361873,4.35,4.75479338952345
"31",500,10,10,0.5,2.85728508361873,4.5,4.8643922245944
"32",500,10,10,0.5,2.85728508361873,4.65,4.9057733792295
"33",500,10,10,0.5,2.85728508361873,4.8,4.99200131226526
"34",500,10,10,0.5,2.85728508361873,4.95,5.14737665499038
"35",500,10,10,0.5,2.85728508361873,5.1,5.18848728871865
"36",500,10,10,0.5,2.85728508361873,5.25,5.24486811855286
"37",500,10,10,0.5,2.85728508361873,5.4,5.39461374065963
"38",500,10,10,0.5,2.85728508361873,5.55,5.34730506201486
"39",500,10,10,0.5,2.85728508361873,5.7,5.43520308751096
"40",500,10,10,0.5,2.85728508361873,5.85,5.63796762800381
"41",500,10,10,0.5,2.85728508361873,6,5.58169344785824
"42",500,10,10,0.5,2.85728508361873,6.15,5.56273793832921
"43",500,10,10,0.5,2.85728508361873,6.3,5.70016955986164
"44",500,10,10,0.5,2.85728508361873,6.45,5.76758444497042
"45",500,10,10,0.5,2.85728508361873,6.6,5.80975225302322
"46",500,10,10,0.5,2.85728508361873,6.75,5.91265801234979
"47",500,10,10,0.5,2.85728508361873,6.9,5.84107088712569
"48",500,10,10,0.5,2.85728508361873,7.05,5.84005149356316
"49",500,10,10,0.5,2.85728508361873,7.2,6.01350875329111
"50",500,10,10,0.5,2.85728508361873,7.35,6.04497666502577
"51",500,10,10,0.5,2.85728508361873,7.5,6.02994551253603
"52",500,10,10,0.5,2.85728508361873,7.65,6.08925122462872
"53",500,10,10,0.5,2.85728508361873,7.8,6.08889332402504
"54",500,10,10,0.5,2.85728508361873,7.95,6.24565534180043
"55",500,10,10,0.5,2.85728508361873,8.1,6.18199597417302
"56",500,10,10,0.5,2.85728508361873,8.25,6.16406212467933
"57",500,10,10,0.5,2.85728508361873,8.4,6.36282721022608
"58",500,10,10,0.5,2.85728508361873,8.55,6.40070458742944
"59",500,10,10,0.5,2.85728508361873,8.7,6.19593384848199
"60",500,10,10,0.5,2.85728508361873,8.85,6.33709934365567
"61",500,10,10,0.5,2.85728508361873,9,6.46234148874086
"62",500,10,10,0.5,2.85728508361873,9.15,6.38006959344252
"63",500,10,10,0.5,2.85728508361873,9.3,6.51021886379028
"64",500,10,10,0.5,2.85728508361873,9.45,6.60325239991565
"65",500,10,10,0.5,2.85728508361873,9.6,6.55860242819857
"66",500,10,10,0.5,2.85728508361873,9.75,6.51609961738346
"67",500,10,10,0.5,2.85728508361873,9.9,6.60677853879282
"68",500,10,10,1,2.79557445011342,0,10.5974682304493
"69",500,10,10,1,2.79557445011342,0.15,10.5947887937808
"70",500,10,10,1,2.79557445011342,0.3,1.92403127364197
"71",500,10,10,1,2.79557445011342,0.45,0.916396750593815
"72",500,10,10,1,2.79557445011342,0.6,0.704015431990204
"73",500,10,10,1,2.79557445011342,0.75,0.753012259725409
"74",500,10,10,1,2.79557445011342,0.9,1.03674615526115
"75",500,10,10,1,2.79557445011342,1.05,1.39859096471014
"76",500,10,10,1,2.79557445011342,1.2,1.83401320766567
"77",500,10,10,1,2.79557445011342,1.35,2.36781479134898
"78",500,10,10,1,2.79557445011342,1.5,2.86757644883761
"79",500,10,10,1,2.79557445011342,1.65,3.38645319062851
"80",500,10,10,1,2.79557445011342,1.8,3.86525696697064
"81",500,10,10,1,2.79557445011342,1.95,4.53944247290779
"82",500,10,10,1,2.79557445011342,2.1,4.74159153297715
