"","N","n","run","alpha0","sd_data","sigma","KL"
"1",200,10,10,0.5,2.86499359440616,0,51.4922147273253
"2",200,10,10,0.5,2.86499359440616,0.15,50.5494156946556
"3",200,10,10,0.5,2.86499359440616,0.3,46.3472486842779
"4",200,10,10,0.5,2.86499359440616,0.45,41.588939519331
"5",200,10,10,0.5,2.86499359440616,0.6,34.1946617652077
"6",200,10,10,0.5,2.86499359440616,0.75,26.0334849979323
"7",200,10,10,0.5,2.86499359440616,0.9,23.5044877424757
"8",200,10,10,0.5,2.86499359440616,1.05,19.4241964748522
"9",200,10,10,0.5,2.86499359440616,1.2,15.87038651834
"10",200,10,10,0.5,2.86499359440616,1.35,11.4970309215439
"11",200,10,10,0.5,2.86499359440616,1.5,9.81182193818561
"12",200,10,10,0.5,2.86499359440616,1.65,7.50660855594279
"13",200,10,10,0.5,2.86499359440616,1.8,6.05711867226865
"14",200,10,10,0.5,2.86499359440616,1.95,4.81633487888106
"15",200,10,10,0.5,2.86499359440616,2.1,4.17763126219605
"16",200,10,10,0.5,2.86499359440616,2.25,3.66824981237678
"17",200,10,10,0.5,2.86499359440616,2.4,3.03136155609934
"18",200,10,10,0.5,2.86499359440616,2.55,2.79511451162338
"19",200,10,10,0.5,2.86499359440616,2.7,2.86380729881548
"20",200,10,10,0.5,2.86499359440616,2.85,2.36519776405961
"21",200,10,10,0.5,2.86499359440616,3,2.26512034577896
"22",200,10,10,0.5,2.86499359440616,3.15,2.10960090334082
"23",200,10,10,0.5,2.86499359440616,3.3,1.95521932309337
"24",200,10,10,0.5,2.86499359440616,3.45,1.88896160517346
"25",200,10,10,0.5,2.86499359440616,3.6,1.82182408369127
"26",200,10,10,0.5,2.86499359440616,3.75,1.7806077890472
"27",200,10,10,0.5,2.86499359440616,3.9,1.70322671631335
"28",200,10,10,0.5,2.86499359440616,4.05,1.69116922641984
"29",200,10,10,0.5,2.86499359440616,4.2,1.66630417331533
"30",200,10,10,0.5,2.86499359440616,4.35,1.65866498518552
"31",200,10,10,0.5,2.86499359440616,4.5,1.54657187908427
"32",200,10,10,0.5,2.86499359440616,4.65,1.58786945986215
"33",200,10,10,0.5,2.86499359440616,4.8,1.66718435211588
"34",200,10,10,0.5,2.86499359440616,4.95,1.60813798785203
"35",200,10,10,0.5,2.86499359440616,5.1,1.59677954495047
"36",200,10,10,0.5,2.86499359440616,5.25,1.61134647997602
"37",200,10,10,0.5,2.86499359440616,5.4,1.57219231221175
"38",200,10,10,0.5,2.86499359440616,5.55,1.64825335419392
"39",200,10,10,0.5,2.86499359440616,5.7,1.59881651303922
"40",200,10,10,0.5,2.86499359440616,5.85,1.59864800719086
"41",200,10,10,0.5,2.86499359440616,6,1.64297352502879
"42",200,10,10,0.5,2.86499359440616,6.15,1.61230832934279
"43",200,10,10,0.5,2.86499359440616,6.3,1.65823163444653
"44",200,10,10,0.5,2.86499359440616,6.45,1.64277441683506
"45",200,10,10,0.5,2.86499359440616,6.6,1.66364945629516
"46",200,10,10,0.5,2.86499359440616,6.75,1.61154159546384
"47",200,10,10,0.5,2.86499359440616,6.9,1.62582753782422
"48",200,10,10,0.5,2.86499359440616,7.05,1.67662444471935
"49",200,10,10,0.5,2.86499359440616,7.2,1.70382919989506
"50",200,10,10,0.5,2.86499359440616,7.35,1.72679983230163
"51",200,10,10,0.5,2.86499359440616,7.5,1.7096020136017
"52",200,10,10,0.5,2.86499359440616,7.65,1.73668213039014
"53",200,10,10,0.5,2.86499359440616,7.8,1.70519179475005
"54",200,10,10,0.5,2.86499359440616,7.95,1.69213234435945
"55",200,10,10,0.5,2.86499359440616,8.1,1.73731767148495
"56",200,10,10,0.5,2.86499359440616,8.25,1.71440083735504
"57",200,10,10,0.5,2.86499359440616,8.4,1.73477142044716
"58",200,10,10,0.5,2.86499359440616,8.55,1.79753109948043
"59",200,10,10,0.5,2.86499359440616,8.7,1.78323086046858
"60",200,10,10,0.5,2.86499359440616,8.85,1.80459715192742
"61",200,10,10,0.5,2.86499359440616,9,1.80506348901328
"62",200,10,10,0.5,2.86499359440616,9.15,1.82020601556152
"63",200,10,10,0.5,2.86499359440616,9.3,1.82099908516083
"64",200,10,10,0.5,2.86499359440616,9.45,1.81897489397535
"65",200,10,10,0.5,2.86499359440616,9.6,1.8338990102906
"66",200,10,10,0.5,2.86499359440616,9.75,1.81104941812425
"67",200,10,10,0.5,2.86499359440616,9.9,1.82564347391799
"68",200,10,10,1,2.79108605907793,0,21.463118454004
"69",200,10,10,1,2.79108605907793,0.15,17.0334077749511
"70",200,10,10,1,2.79108605907793,0.3,9.08014007776574
"71",200,10,10,1,2.79108605907793,0.45,6.60332615508739
"72",200,10,10,1,2.79108605907793,0.6,5.16093135140071
"73",200,10,10,1,2.79108605907793,0.75,4.12990742014499
"74",200,10,10,1,2.79108605907793,0.9,3.67149405613494
"75",200,10,10,1,2.79108605907793,1.05,3.44104557810432
"76",200,10,10,1,2.79108605907793,1.2,3.38695929096147
"77",200,10,10,1,2.79108605907793,1.35,3.53515905368766
"78",200,10,10,1,2.79108605907793,1.5,3.5524063227327
"79",200,10,10,1,2.79108605907793,1.65,3.92720874846487
"80",200,10,10,1,2.79108605907793,1.8,4.09001090680193
"81",200,10,10,1,2.79108605907793,1.95,4.23062243156796
"82",200,10,10,1,2.79108605907793,2.1,4.57804190244073
"83",200,10,10,1,2.79108605907793,2.25,4.84035681164578
"84",200,10,10,1,2.79108605907793,2.4,5.07284587955196
"85",200,10,10,1,2.79108605907793,2.55,5.22659975102606
"86",200,10,10,1,2.79108605907793,2.7,5.58465942939189
"87",200,10,10,1,2.79108605907793,2.85,5.78018823153
"88",200,10,10,1,2.79108605907793,3,5.92361110027243
"89",200,10,10,1,2.79108605907793,3.15,6.18209857655571
"90",200,10,10,1,2.79108605907793,3.3,6.40810541899349
"91",200,10,10,1,2.79108605907793,3.45,6.43155919927316
"92",200,10,10,1,2.79108605907793,3.6,6.68389791932965
"93",200,10,10,1,2.79108605907793,3.75,6.9309573314901
"94",200,10,10,1,2.79108605907793,3.9,7.02580678607973
"95",200,10,10,1,2.79108605907793,4.05,7.13972835966958
"96",200,10,10,1,2.79108605907793,4.2,7.36014911921311
"97",200,10,10,1,2.79108605907793,4.35,7.48616718922679
"98",200,10,10,1,2.79108605907793,4.5,7.68540237152279
"99",200,10,10,1,2.79108605907793,4.65,7.62930075642036
"100",200,10,10,1,2.79108605907793,4.8,7.80915247303158
"101",200,10,10,1,2.79108605907793,4.95,8.05267719910468
"102",200,10,10,1,2.79108605907793,5.1,8.05888873609149
"103",200,10,10,1,2.79108605907793,5.25,8.07710105625296
"104",200,10,10,1,2.79108605907793,5.4,8.27316411259895
"105",200,10,10,1,2.79108605907793,5.55,8.43405672507796
"106",200,10,10,1,2.79108605907793,5.7,8.36908540691837
"107",200,10,10,1,2.79108605907793,5.85,8.59029739587495
"108",200,10,10,1,2.79108605907793,6,8.60275320326937
"109",200,10,10,1,2.79108605907793,6.15,8.66020385492628
"110",200,10,10,1,2.79108605907793,6.3,8.41123179401588
"111",200,10,10,1,2.79108605907793,6.45,8.72581922271386
"112",200,10,10,1,2.79108605907793,6.6,8.84031588316247
"113",200,10,10,1,2.79108605907793,6.75,9.13691393463767
"114",200,10,10,1,2.79108605907793,6.9,9.04356048254471
"115",200,10,10,1,2.79108605907793,7.05,9.00932379370005
"116",200,10,10,1,2.79108605907793,7.2,9.04124167632868
"117",200,10,10,1,2.79108605907793,7.35,9.23531583028702
"118",200,10,10,1,2.79108605907793,7.5,9.29545659271516
"119",200,10,10,1,2.79108605907793,7.65,9.23177462307022
"120",200,10,10,1,2.79108605907793,7.8,9.39950345792439
"121",200,10,10,1,2.79108605907793,7.95,9.36482694033322
"122",200,10,10,1,2.79108605907793,8.1,9.42975981924939
"123",200,10,10,1,2.79108605907793,8.25,9.45523693767433
"124",200,10,10,1,2.79108605907793,8.4,9.46650776307937
"125",200,10,10,1,2.79108605907793,8.55,9.45061860804048
"126",200,10,10,1,2.79108605907793,8.7,9.63248936605661
"127",200,10,10,1,2.79108605907793,8.85,9.6556139961764
"128",200,10,10,1,2.79108605907793,9,9.67598545667841
"129",200,10,10,1,2.79108605907793,9.15,9.68039061069688
"130",200,10,10,1,2.79108605907793,9.3,9.80450783411651
"131",200,10,10,1,2.79108605907793,9.45,9.82504870607247
"132",200,10,10,1,2.79108605907793,9.6,9.88396355001023
"133",200,10,10,1,2.79108605907793,9.75,9.994426888567
"134",200,10,10,1,2.79108605907793,9.9,10.0660700785225
"135",200,10,10,1.5,2.69492586681049,0,50.1436138374977
"136",200,10,10,1.5,2.69492586681049,0.15,50.3606928403565
"137",200,10,10,1.5,2.69492586681049,0.3,20.8796181869511
"138",200,10,10,1.5,2.69492586681049,0.45,13.8908395180617
"139",200,10,10,1.5,2.69492586681049,0.6,11.3637834910327
"140",200,10,10,1.5,2.69492586681049,0.75,9.13748523044852
"141",200,10,10,1.5,2.69492586681049,0.9,8.10106161770112
"142",200,10,10,1.5,2.69492586681049,1.05,7.37574819070467
"143",200,10,10,1.5,2.69492586681049,1.2,6.78934323893825
"144",200,10,10,1.5,2.69492586681049,1.35,6.48620913609734
"145",200,10,10,1.5,2.69492586681049,1.5,6.37170758460323
"146",200,10,10,1.5,2.69492586681049,1.65,6.65805931468435
"147",200,10,10,1.5,2.69492586681049,1.8,6.52258779011855
"148",200,10,10,1.5,2.69492586681049,1.95,6.54890696049246
"149",200,10,10,1.5,2.69492586681049,2.1,6.79557749851223
"150",200,10,10,1.5,2.69492586681049,2.25,6.98108469953106
"151",200,10,10,1.5,2.69492586681049,2.4,7.09026076059348
"152",200,10,10,1.5,2.69492586681049,2.55,7.31747657015482
"153",200,10,10,1.5,2.69492586681049,2.7,7.32979566055286
"154",200,10,10,1.5,2.69492586681049,2.85,7.58791079447588
"155",200,10,10,1.5,2.69492586681049,3,7.83749996269651
"156",200,10,10,1.5,2.69492586681049,3.15,7.93704659754556
"157",200,10,10,1.5,2.69492586681049,3.3,8.16702682802067
"158",200,10,10,1.5,2.69492586681049,3.45,8.25085064019113
"159",200,10,10,1.5,2.69492586681049,3.6,8.33641932494601
"160",200,10,10,1.5,2.69492586681049,3.75,8.64732770900557
"161",200,10,10,1.5,2.69492586681049,3.9,8.5893316916518
"162",200,10,10,1.5,2.69492586681049,4.05,8.80585050434528
"163",200,10,10,1.5,2.69492586681049,4.2,9.00904957750263
"164",200,10,10,1.5,2.69492586681049,4.35,9.11465453714119
"165",200,10,10,1.5,2.69492586681049,4.5,9.22030845399969
"166",200,10,10,1.5,2.69492586681049,4.65,9.35801156672918
"167",200,10,10,1.5,2.69492586681049,4.8,9.67091936117568
"168",200,10,10,1.5,2.69492586681049,4.95,9.74186649835356
"169",200,10,10,1.5,2.69492586681049,5.1,9.69791324772723
"170",200,10,10,1.5,2.69492586681049,5.25,9.72179207849623
"171",200,10,10,1.5,2.69492586681049,5.4,9.93708797271757
"172",200,10,10,1.5,2.69492586681049,5.55,10.000887657788
"173",200,10,10,1.5,2.69492586681049,5.7,10.0286438695108
"174",200,10,10,1.5,2.69492586681049,5.85,10.1607162440111
"175",200,10,10,1.5,2.69492586681049,6,10.1622329214133
"176",200,10,10,1.5,2.69492586681049,6.15,10.2589569514832
"177",200,10,10,1.5,2.69492586681049,6.3,10.2728279725284
"178",200,10,10,1.5,2.69492586681049,6.45,10.3983703042132
"179",200,10,10,1.5,2.69492586681049,6.6,10.3523939758433
"180",200,10,10,1.5,2.69492586681049,6.75,10.4804335292483
"181",200,10,10,1.5,2.69492586681049,6.9,10.5288485707412
"182",200,10,10,1.5,2.69492586681049,7.05,10.6424674108457
"183",200,10,10,1.5,2.69492586681049,7.2,10.7813157956162
"184",200,10,10,1.5,2.69492586681049,7.35,10.5867102228551
"185",200,10,10,1.5,2.69492586681049,7.5,10.8036497414058
"186",200,10,10,1.5,2.69492586681049,7.65,10.8643672166679
"187",200,10,10,1.5,2.69492586681049,7.8,10.9527747189339
"188",200,10,10,1.5,2.69492586681049,7.95,11.0989946696337
"189",200,10,10,1.5,2.69492586681049,8.1,11.0154673906135
"190",200,10,10,1.5,2.69492586681049,8.25,11.0973571296656
"191",200,10,10,1.5,2.69492586681049,8.4,10.97627197306
"192",200,10,10,1.5,2.69492586681049,8.55,11.060348340633
"193",200,10,10,1.5,2.69492586681049,8.7,11.2072150807149
"194",200,10,10,1.5,2.69492586681049,8.85,11.2378181593429
"195",200,10,10,1.5,2.69492586681049,9,11.2704008577747
"196",200,10,10,1.5,2.69492586681049,9.15,11.1265984101277
"197",200,10,10,1.5,2.69492586681049,9.3,11.3165969022414
"198",200,10,10,1.5,2.69492586681049,9.45,11.2944765273937
"199",200,10,10,1.5,2.69492586681049,9.6,11.4306125628097
"200",200,10,10,1.5,2.69492586681049,9.75,11.5937558241756
"201",200,10,10,1.5,2.69492586681049,9.9,11.5064779453323
"202",200,10,10,2,2.54332549568135,0,0.250862496793809
"203",200,10,10,2,2.54332549568135,0.15,0.261019860730241
"204",200,10,10,2,2.54332549568135,0.3,0.049140246563112
"205",200,10,10,2,2.54332549568135,0.45,0.18573490023172
"206",200,10,10,2,2.54332549568135,0.6,0.431676081188201
"207",200,10,10,2,2.54332549568135,0.75,0.791930167381286
"208",200,10,10,2,2.54332549568135,0.9,1.16034952379588
"209",200,10,10,2,2.54332549568135,1.05,1.62859663077353
"210",200,10,10,2,2.54332549568135,1.2,2.1561991189372
"211",200,10,10,2,2.54332549568135,1.35,2.54569516758395
"212",200,10,10,2,2.54332549568135,1.5,2.98924037111791
"213",200,10,10,2,2.54332549568135,1.65,3.44093504324189
"214",200,10,10,2,2.54332549568135,1.8,3.90532392621708
"215",200,10,10,2,2.54332549568135,1.95,4.26991658590746
"216",200,10,10,2,2.54332549568135,2.1,4.703704502556
"217",200,10,10,2,2.54332549568135,2.25,5.00811130705061
"218",200,10,10,2,2.54332549568135,2.4,5.37027097322563
"219",200,10,10,2,2.54332549568135,2.55,5.68467653554857
"220",200,10,10,2,2.54332549568135,2.7,6.03902341088325
"221",200,10,10,2,2.54332549568135,2.85,6.30195682454958
"222",200,10,10,2,2.54332549568135,3,6.51262370498886
"223",200,10,10,2,2.54332549568135,3.15,6.89374517877931
"224",200,10,10,2,2.54332549568135,3.3,7.32807947261502
"225",200,10,10,2,2.54332549568135,3.45,7.37817180239286
"226",200,10,10,2,2.54332549568135,3.6,7.61056880263036
"227",200,10,10,2,2.54332549568135,3.75,7.80657374528696
"228",200,10,10,2,2.54332549568135,3.9,7.82855868271915
"229",200,10,10,2,2.54332549568135,4.05,8.08486581292
"230",200,10,10,2,2.54332549568135,4.2,8.31731700814167
"231",200,10,10,2,2.54332549568135,4.35,8.31695865936175
"232",200,10,10,2,2.54332549568135,4.5,8.67336962937232
"233",200,10,10,2,2.54332549568135,4.65,8.73587871896844
"234",200,10,10,2,2.54332549568135,4.8,8.91256144246117
"235",200,10,10,2,2.54332549568135,4.95,8.91667926209342
"236",200,10,10,2,2.54332549568135,5.1,9.13810402321413
"237",200,10,10,2,2.54332549568135,5.25,9.15730280344976
"238",200,10,10,2,2.54332549568135,5.4,9.39310261730704
"239",200,10,10,2,2.54332549568135,5.55,9.30387873587073
"240",200,10,10,2,2.54332549568135,5.7,9.50228116112787
"241",200,10,10,2,2.54332549568135,5.85,9.60400260888533
"242",200,10,10,2,2.54332549568135,6,9.66940298108645
"243",200,10,10,2,2.54332549568135,6.15,9.91977246338322
"244",200,10,10,2,2.54332549568135,6.3,10.1127012441169
