"","N","n","run","alpha0","sd_data","sigma","KL"
"1",200,25,10,0.5,7.1546166140909,0,162.478983350914
"2",200,25,10,0.5,7.1546166140909,0.375,164.391460018235
"3",200,25,10,0.5,7.1546166140909,0.75,148.217820796843
"4",200,25,10,0.5,7.1546166140909,1.125,135.397562437486
"5",200,25,10,0.5,7.1546166140909,1.5,117.005140251721
"6",200,25,10,0.5,7.1546166140909,1.875,95.4786231770288
"7",200,25,10,0.5,7.1546166140909,2.25,82.5723869020954
"8",200,25,10,0.5,7.1546166140909,2.625,66.1615760156325
"9",200,25,10,0.5,7.1546166140909,3,57.8763666006595
"10",200,25,10,0.5,7.1546166140909,3.375,49.5702389691336
"11",200,25,10,0.5,7.1546166140909,3.75,38.9180439356608
"12",200,25,10,0.5,7.1546166140909,4.125,33.4046301485487
"13",200,25,10,0.5,7.1546166140909,4.5,28.4678079292233
"14",200,25,10,0.5,7.1546166140909,4.875,24.066248601549
"15",200,25,10,0.5,7.1546166140909,5.25,19.8928539251189
"16",200,25,10,0.5,7.1546166140909,5.625,17.0568384673155
"17",200,25,10,0.5,7.1546166140909,6,13.8563622942132
"18",200,25,10,0.5,7.1546166140909,6.375,12.7388572461416
"19",200,25,10,0.5,7.1546166140909,6.75,11.4621449446993
"20",200,25,10,0.5,7.1546166140909,7.125,9.32862728773493
"21",200,25,10,0.5,7.1546166140909,7.5,6.65898542823007
"22",200,25,10,0.5,7.1546166140909,7.875,7.54185427439467
"23",200,25,10,0.5,7.1546166140909,8.25,6.59842638741032
"24",200,25,10,0.5,7.1546166140909,8.625,5.39579998780138
"25",200,25,10,0.5,7.1546166140909,9,5.17091865833599
"26",200,25,10,0.5,7.1546166140909,9.375,5.27581795462607
"27",200,25,10,0.5,7.1546166140909,9.75,4.67387164079968
"28",200,25,10,0.5,7.1546166140909,10.125,4.3893034067068
"29",200,25,10,0.5,7.1546166140909,10.5,4.34082928485348
"30",200,25,10,0.5,7.1546166140909,10.875,4.350634918403
"31",200,25,10,0.5,7.1546166140909,11.25,4.05669007405405
"32",200,25,10,0.5,7.1546166140909,11.625,4.02379085788248
"33",200,25,10,0.5,7.1546166140909,12,3.91380474165247
"34",200,25,10,0.5,7.1546166140909,12.375,3.79642088065599
"35",200,25,10,0.5,7.1546166140909,12.75,3.75051426985783
"36",200,25,10,0.5,7.1546166140909,13.125,3.74670387517039
"37",200,25,10,0.5,7.1546166140909,13.5,3.62555039051414
"38",200,25,10,0.5,7.1546166140909,13.875,3.66457395782103
"39",200,25,10,0.5,7.1546166140909,14.25,3.57852059440995
"40",200,25,10,0.5,7.1546166140909,14.625,3.5292966936418
"41",200,25,10,0.5,7.1546166140909,15,3.59417668325822
"42",200,25,10,0.5,7.1546166140909,15.375,3.55938441876488
"43",200,25,10,0.5,7.1546166140909,15.75,3.46721911705645
"44",200,25,10,0.5,7.1546166140909,16.125,3.48226107389155
"45",200,25,10,0.5,7.1546166140909,16.5,3.40538595597445
