"","N","n","run","alpha0","sd_data","sigma","KL"
"1",1000,25,10,0.5,7.16734844695268,0,238.249354110282
"2",1000,25,10,0.5,7.16734844695268,0.375,196.225527952006
"3",1000,25,10,0.5,7.16734844695268,0.75,127.675733238118
"4",1000,25,10,0.5,7.16734844695268,1.125,98.8430316866748
"5",1000,25,10,0.5,7.16734844695268,1.5,61.1346432173335
"6",1000,25,10,0.5,7.16734844695268,1.875,40.6213827378768
"7",1000,25,10,0.5,7.16734844695268,2.25,31.1715326677274
"8",1000,25,10,0.5,7.16734844695268,2.625,21.457345460505
"9",1000,25,10,0.5,7.16734844695268,3,14.3680038802752
"10",1000,25,10,0.5,7.16734844695268,3.375,11.4358706153153
"11",1000,25,10,0.5,7.16734844695268,3.75,10.0382597049064
"12",1000,25,10,0.5,7.16734844695268,4.125,8.42719755753243
"13",1000,25,10,0.5,7.16734844695268,4.5,7.83906723734529
"14",1000,25,10,0.5,7.16734844695268,4.875,7.58381108142451
"15",1000,25,10,0.5,7.16734844695268,5.25,7.70490511530392
"16",1000,25,10,0.5,7.16734844695268,5.625,7.6684634407222
"17",1000,25,10,0.5,7.16734844695268,6,7.7546978781715
"18",1000,25,10,0.5,7.16734844695268,6.375,8.12971904649693
"19",1000,25,10,0.5,7.16734844695268,6.75,8.36502170428326
"20",1000,25,10,0.5,7.16734844695268,7.125,8.55517551079585
"21",1000,25,10,0.5,7.16734844695268,7.5,8.82985550540801
"22",1000,25,10,0.5,7.16734844695268,7.875,9.14502384114661
"23",1000,25,10,0.5,7.16734844695268,8.25,9.46290473444913
"24",1000,25,10,0.5,7.16734844695268,8.625,9.76874275936692
"25",1000,25,10,0.5,7.16734844695268,9,9.94112263313196
"26",1000,25,10,0.5,7.16734844695268,9.375,10.2722946942131
"27",1000,25,10,0.5,7.16734844695268,9.75,10.6682144366157
"28",1000,25,10,0.5,7.16734844695268,10.125,10.8750477976271
"29",1000,25,10,0.5,7.16734844695268,10.5,11.064301965875
"30",1000,25,10,0.5,7.16734844695268,10.875,11.3305189755816
"31",1000,25,10,0.5,7.16734844695268,11.25,11.5555781960326
"32",1000,25,10,0.5,7.16734844695268,11.625,11.7379170524464
"33",1000,25,10,0.5,7.16734844695268,12,11.9358717215127
"34",1000,25,10,0.5,7.16734844695268,12.375,12.1916962088198
"35",1000,25,10,0.5,7.16734844695268,12.75,12.4444951776691
"36",1000,25,10,0.5,7.16734844695268,13.125,12.4841606644734
"37",1000,25,10,0.5,7.16734844695268,13.5,12.6993574682884
"38",1000,25,10,0.5,7.16734844695268,13.875,12.8202925980709
"39",1000,25,10,0.5,7.16734844695268,14.25,13.1127313903858
"40",1000,25,10,0.5,7.16734844695268,14.625,13.1340934478225
"41",1000,25,10,0.5,7.16734844695268,15,13.3983226670563
"42",1000,25,10,0.5,7.16734844695268,15.375,13.5446094647355
"43",1000,25,10,0.5,7.16734844695268,15.75,13.6696483797699
"44",1000,25,10,0.5,7.16734844695268,16.125,13.6918241840136
"45",1000,25,10,0.5,7.16734844695268,16.5,13.9919781970169
"46",1000,25,10,0.5,7.16734844695268,16.875,14.1239566058027
"47",1000,25,10,0.5,7.16734844695268,17.25,14.2318021883014
"48",1000,25,10,0.5,7.16734844695268,17.625,14.1379615673393
"49",1000,25,10,0.5,7.16734844695268,18,14.2057987623531
"50",1000,25,10,0.5,7.16734844695268,18.375,14.5256397380872
"51",1000,25,10,0.5,7.16734844695268,18.75,14.5388350191718
"52",1000,25,10,0.5,7.16734844695268,19.125,14.7457066296917
"53",1000,25,10,0.5,7.16734844695268,19.5,14.9622790537385
"54",1000,25,10,0.5,7.16734844695268,19.875,14.9337347631165
"55",1000,25,10,0.5,7.16734844695268,20.25,14.925620730263
"56",1000,25,10,0.5,7.16734844695268,20.625,15.1784580893446
"57",1000,25,10,0.5,7.16734844695268,21,15.248361949913
"58",1000,25,10,0.5,7.16734844695268,21.375,15.1676309838959
"59",1000,25,10,0.5,7.16734844695268,21.75,15.4328232766878
"60",1000,25,10,0.5,7.16734844695268,22.125,15.5586484292287
"61",1000,25,10,0.5,7.16734844695268,22.5,15.561479995613
"62",1000,25,10,0.5,7.16734844695268,22.875,15.462846847886
"63",1000,25,10,0.5,7.16734844695268,23.25,15.8416089299405
"64",1000,25,10,0.5,7.16734844695268,23.625,15.8435117200625
"65",1000,25,10,0.5,7.16734844695268,24,15.8421133041867
"66",1000,25,10,0.5,7.16734844695268,24.375,15.9165990128266
"67",1000,25,10,0.5,7.16734844695268,24.75,16.1014330464446
"68",1000,25,10,1,7.04429120055819,0,172.339380089297
"69",1000,25,10,1,7.04429120055819,0.375,128.367073405168
"70",1000,25,10,1,7.04429120055819,0.75,99.0186577451901
"71",1000,25,10,1,7.04429120055819,1.125,57.3496543980774
"72",1000,25,10,1,7.04429120055819,1.5,38.0333732140811
"73",1000,25,10,1,7.04429120055819,1.875,26.2312823556805
"74",1000,25,10,1,7.04429120055819,2.25,22.3033322621923
"75",1000,25,10,1,7.04429120055819,2.625,17.9956706651581
"76",1000,25,10,1,7.04429120055819,3,17.2565653185802
"77",1000,25,10,1,7.04429120055819,3.375,16.7537883196745
"78",1000,25,10,1,7.04429120055819,3.75,16.8444484250759
"79",1000,25,10,1,7.04429120055819,4.125,17.0979721604641
"80",1000,25,10,1,7.04429120055819,4.5,17.6806554186569
"81",1000,25,10,1,7.04429120055819,4.875,18.2107675691161
"82",1000,25,10,1,7.04429120055819,5.25,19.0670168341409
"83",1000,25,10,1,7.04429120055819,5.625,19.206199792538
"84",1000,25,10,1,7.04429120055819,6,19.9569477511424
"85",1000,25,10,1,7.04429120055819,6.375,20.5562386011796
"86",1000,25,10,1,7.04429120055819,6.75,20.956321209893
"87",1000,25,10,1,7.04429120055819,7.125,21.6197734131284
"88",1000,25,10,1,7.04429120055819,7.5,22.1569119707245
"89",1000,25,10,1,7.04429120055819,7.875,22.5659012840014
"90",1000,25,10,1,7.04429120055819,8.25,23.1658625804521
"91",1000,25,10,1,7.04429120055819,8.625,23.3640203961053
"92",1000,25,10,1,7.04429120055819,9,24.1844523652004
"93",1000,25,10,1,7.04429120055819,9.375,24.302839462675
"94",1000,25,10,1,7.04429120055819,9.75,24.6738379939126
"95",1000,25,10,1,7.04429120055819,10.125,25.3586688617026
"96",1000,25,10,1,7.04429120055819,10.5,25.4906422588736
"97",1000,25,10,1,7.04429120055819,10.875,26.2178036003738
"98",1000,25,10,1,7.04429120055819,11.25,26.0752737274945
"99",1000,25,10,1,7.04429120055819,11.625,26.8864849035805
"100",1000,25,10,1,7.04429120055819,12,26.9682080295997
"101",1000,25,10,1,7.04429120055819,12.375,27.1332670804356
"102",1000,25,10,1,7.04429120055819,12.75,27.4518168871219
"103",1000,25,10,1,7.04429120055819,13.125,27.6313537966831
"104",1000,25,10,1,7.04429120055819,13.5,28.1324182064272
"105",1000,25,10,1,7.04429120055819,13.875,28.3020115465886
"106",1000,25,10,1,7.04429120055819,14.25,28.3552270166357
"107",1000,25,10,1,7.04429120055819,14.625,28.6105100435392
"108",1000,25,10,1,7.04429120055819,15,28.8195600604561
"109",1000,25,10,1,7.04429120055819,15.375,28.9828831440322
"110",1000,25,10,1,7.04429120055819,15.75,29.3584143705714
"111",1000,25,10,1,7.04429120055819,16.125,29.5251395075096
"112",1000,25,10,1,7.04429120055819,16.5,29.7482356148978
"113",1000,25,10,1,7.04429120055819,16.875,29.7785021939161
"114",1000,25,10,1,7.04429120055819,17.25,29.9253115141483
"115",1000,25,10,1,7.04429120055819,17.625,30.1029330811607
"116",1000,25,10,1,7.04429120055819,18,30.0352849355653
"117",1000,25,10,1,7.04429120055819,18.375,30.7702951199383
"118",1000,25,10,1,7.04429120055819,18.75,30.3545895150323
"119",1000,25,10,1,7.04429120055819,19.125,30.7667803694649
"120",1000,25,10,1,7.04429120055819,19.5,30.6914708164886
"121",1000,25,10,1,7.04429120055819,19.875,31.4674833297126
"122",1000,25,10,1,7.04429120055819,20.25,31.1534299671313
"123",1000,25,10,1,7.04429120055819,20.625,31.4920606106002
"124",1000,25,10,1,7.04429120055819,21,31.4845840659661
"125",1000,25,10,1,7.04429120055819,21.375,31.6037140982917
"126",1000,25,10,1,7.04429120055819,21.75,31.9158347338921
"127",1000,25,10,1,7.04429120055819,22.125,32.2166228189309
"128",1000,25,10,1,7.04429120055819,22.5,32.0014297030727
"129",1000,25,10,1,7.04429120055819,22.875,32.1852339352918
"130",1000,25,10,1,7.04429120055819,23.25,32.4081126264965
"131",1000,25,10,1,7.04429120055819,23.625,32.3715911751781
"132",1000,25,10,1,7.04429120055819,24,32.5660605808857
"133",1000,25,10,1,7.04429120055819,24.375,32.5079951851919
"134",1000,25,10,1,7.04429120055819,24.75,32.4051084265744
"135",1000,25,10,1.5,6.87993823173269,0,131.439690479867
"136",1000,25,10,1.5,6.87993823173269,0.375,80.467301020352
"137",1000,25,10,1.5,6.87993823173269,0.75,62.6888161571242
"138",1000,25,10,1.5,6.87993823173269,1.125,45.6803688052092
"139",1000,25,10,1.5,6.87993823173269,1.5,28.458857507248
"140",1000,25,10,1.5,6.87993823173269,1.875,25.3418610778188
"141",1000,25,10,1.5,6.87993823173269,2.25,22.7737123508925
"142",1000,25,10,1.5,6.87993823173269,2.625,22.3735859421815
"143",1000,25,10,1.5,6.87993823173269,3,22.6418618962673
"144",1000,25,10,1.5,6.87993823173269,3.375,23.3317570377502
"145",1000,25,10,1.5,6.87993823173269,3.75,23.8916126102675
"146",1000,25,10,1.5,6.87993823173269,4.125,24.8142789265143
"147",1000,25,10,1.5,6.87993823173269,4.5,25.7351620703304
"148",1000,25,10,1.5,6.87993823173269,4.875,26.6208536505271
"149",1000,25,10,1.5,6.87993823173269,5.25,27.2868556580406
"150",1000,25,10,1.5,6.87993823173269,5.625,28.3257191818845
"151",1000,25,10,1.5,6.87993823173269,6,28.8773562810073
"152",1000,25,10,1.5,6.87993823173269,6.375,29.8507639163248
"153",1000,25,10,1.5,6.87993823173269,6.75,30.4831247260073
"154",1000,25,10,1.5,6.87993823173269,7.125,31.0878511916335
"155",1000,25,10,1.5,6.87993823173269,7.5,31.9014945785763
"156",1000,25,10,1.5,6.87993823173269,7.875,32.2281817001646
"157",1000,25,10,1.5,6.87993823173269,8.25,32.5324522797188
"158",1000,25,10,1.5,6.87993823173269,8.625,33.6018339417072
"159",1000,25,10,1.5,6.87993823173269,9,33.8213513967201
"160",1000,25,10,1.5,6.87993823173269,9.375,34.481657898697
"161",1000,25,10,1.5,6.87993823173269,9.75,34.8929675031711
"162",1000,25,10,1.5,6.87993823173269,10.125,35.3287894636919
"163",1000,25,10,1.5,6.87993823173269,10.5,35.6511302726051
"164",1000,25,10,1.5,6.87993823173269,10.875,36.2378196721116
"165",1000,25,10,1.5,6.87993823173269,11.25,36.2594152435457
"166",1000,25,10,1.5,6.87993823173269,11.625,36.7371273930307
"167",1000,25,10,1.5,6.87993823173269,12,37.3575660400156
"168",1000,25,10,1.5,6.87993823173269,12.375,37.3234317458522
"169",1000,25,10,1.5,6.87993823173269,12.75,37.3354054558066
"170",1000,25,10,1.5,6.87993823173269,13.125,38.4867356508877
"171",1000,25,10,1.5,6.87993823173269,13.5,38.4396982141664
"172",1000,25,10,1.5,6.87993823173269,13.875,38.7763419865551
"173",1000,25,10,1.5,6.87993823173269,14.25,39.1163310554709
"174",1000,25,10,1.5,6.87993823173269,14.625,39.4187386167635
"175",1000,25,10,1.5,6.87993823173269,15,39.6544970088251
"176",1000,25,10,1.5,6.87993823173269,15.375,40.0387564559759
"177",1000,25,10,1.5,6.87993823173269,15.75,40.1192248915935
"178",1000,25,10,1.5,6.87993823173269,16.125,40.6861222648147
"179",1000,25,10,1.5,6.87993823173269,16.5,40.4146998648174
"180",1000,25,10,1.5,6.87993823173269,16.875,40.4011308727193
"181",1000,25,10,1.5,6.87993823173269,17.25,40.7953707467212
"182",1000,25,10,1.5,6.87993823173269,17.625,41.1573386121489
"183",1000,25,10,1.5,6.87993823173269,18,41.4490223824284
"184",1000,25,10,1.5,6.87993823173269,18.375,41.5225100807838
"185",1000,25,10,1.5,6.87993823173269,18.75,41.752840273249
"186",1000,25,10,1.5,6.87993823173269,19.125,42.1284776455263
"187",1000,25,10,1.5,6.87993823173269,19.5,41.851740979761
"188",1000,25,10,1.5,6.87993823173269,19.875,42.1024252664873
"189",1000,25,10,1.5,6.87993823173269,20.25,42.4800443457341
"190",1000,25,10,1.5,6.87993823173269,20.625,42.0782440983657
"191",1000,25,10,1.5,6.87993823173269,21,42.4232729059245
