"","N","n","run","alpha0","sd_data","sigma","KL"
"1",500,20,10,0.5,5.7228720811953,0,180.609835976617
"2",500,20,10,0.5,5.7228720811953,0.3,177.569325250997
"3",500,20,10,0.5,5.7228720811953,0.6,155.744225205866
"4",500,20,10,0.5,5.7228720811953,0.9,134.485998007724
"5",500,20,10,0.5,5.7228720811953,1.2,106.555961544488
"6",500,20,10,0.5,5.7228720811953,1.5,88.8731239173595
"7",500,20,10,0.5,5.7228720811953,1.8,67.8338291668259
"8",500,20,10,0.5,5.7228720811953,2.1,55.7880278656395
"9",500,20,10,0.5,5.7228720811953,2.4,47.0054436629011
"10",500,20,10,0.5,5.7228720811953,2.7,34.2916568738026
"11",500,20,10,0.5,5.7228720811953,3,29.6779080755244
"12",500,20,10,0.5,5.7228720811953,3.3,26.0083678716127
"13",500,20,10,0.5,5.7228720811953,3.6,20.6417505598006
"14",500,20,10,0.5,5.7228720811953,3.9,17.1737474972061
"15",500,20,10,0.5,5.7228720811953,4.2,14.8201619756495
"16",500,20,10,0.5,5.7228720811953,4.5,13.9750555258973
"17",500,20,10,0.5,5.7228720811953,4.8,11.6759247151852
"18",500,20,10,0.5,5.7228720811953,5.1,10.8385453101742
"19",500,20,10,0.5,5.7228720811953,5.4,9.4276599907619
"20",500,20,10,0.5,5.7228720811953,5.7,9.00745652534974
"21",500,20,10,0.5,5.7228720811953,6,8.81585497146467
"22",500,20,10,0.5,5.7228720811953,6.3,8.37671055172688
"23",500,20,10,0.5,5.7228720811953,6.6,8.24548749037221
"24",500,20,10,0.5,5.7228720811953,6.9,8.05188566844293
"25",500,20,10,0.5,5.7228720811953,7.2,8.00772299135072
"26",500,20,10,0.5,5.7228720811953,7.5,7.83973514534672
"27",500,20,10,0.5,5.7228720811953,7.8,7.83409119305867
"28",500,20,10,0.5,5.7228720811953,8.1,7.64960868608669
"29",500,20,10,0.5,5.7228720811953,8.4,7.60427169906642
"30",500,20,10,0.5,5.7228720811953,8.7,7.60689893602488
"31",500,20,10,0.5,5.7228720811953,9,7.66198013228466
"32",500,20,10,0.5,5.7228720811953,9.3,7.5838920616919
"33",500,20,10,0.5,5.7228720811953,9.6,7.56026561247543
"34",500,20,10,0.5,5.7228720811953,9.9,7.50093974390336
"35",500,20,10,0.5,5.7228720811953,10.2,7.5916679127821
"36",500,20,10,0.5,5.7228720811953,10.5,7.56692118995106
"37",500,20,10,0.5,5.7228720811953,10.8,7.57020409806375
"38",500,20,10,0.5,5.7228720811953,11.1,7.62525819287762
"39",500,20,10,0.5,5.7228720811953,11.4,7.65544128983836
"40",500,20,10,0.5,5.7228720811953,11.7,7.62415181024251
"41",500,20,10,0.5,5.7228720811953,12,7.78669965599193
"42",500,20,10,0.5,5.7228720811953,12.3,7.7092516252101
"43",500,20,10,0.5,5.7228720811953,12.6,7.7226173229584
