"","N","n","run","alpha0","sd_data","sigma","KL"
"1",200,20,10,0.5,5.7223425190937,0,91.5410204323097
"2",200,20,10,0.5,5.7223425190937,0.3,90.3507688636459
"3",200,20,10,0.5,5.7223425190937,0.6,86.0896488276166
"4",200,20,10,0.5,5.7223425190937,0.9,71.9769737829488
"5",200,20,10,0.5,5.7223425190937,1.2,56.5836992416883
"6",200,20,10,0.5,5.7223425190937,1.5,50.349375048872
"7",200,20,10,0.5,5.7223425190937,1.8,39.3330309703436
"8",200,20,10,0.5,5.7223425190937,2.1,30.8875841240591
"9",200,20,10,0.5,5.7223425190937,2.4,28.0258885621272
"10",200,20,10,0.5,5.7223425190937,2.7,18.4249345994512
"11",200,20,10,0.5,5.7223425190937,3,17.007775727543
"12",200,20,10,0.5,5.7223425190937,3.3,13.9568836404626
"13",200,20,10,0.5,5.7223425190937,3.6,9.32268513832163
"14",200,20,10,0.5,5.7223425190937,3.9,8.1139544466038
"15",200,20,10,0.5,5.7223425190937,4.2,6.72908438189257
"16",200,20,10,0.5,5.7223425190937,4.5,5.43100402173751
"17",200,20,10,0.5,5.7223425190937,4.8,4.08778428987947
"18",200,20,10,0.5,5.7223425190937,5.1,3.81051182002743
"19",200,20,10,0.5,5.7223425190937,5.4,3.30277085147611
"20",200,20,10,0.5,5.7223425190937,5.7,2.78650025067497
"21",200,20,10,0.5,5.7223425190937,6,2.82785110206355
"22",200,20,10,0.5,5.7223425190937,6.3,2.56238069884488
"23",200,20,10,0.5,5.7223425190937,6.6,2.52755291940539
"24",200,20,10,0.5,5.7223425190937,6.9,2.40343471409231
"25",200,20,10,0.5,5.7223425190937,7.2,2.38129030516519
"26",200,20,10,0.5,5.7223425190937,7.5,2.35217394541675
"27",200,20,10,0.5,5.7223425190937,7.8,2.35718691348097
"28",200,20,10,0.5,5.7223425190937,8.1,2.31906601021469
"29",200,20,10,0.5,5.7223425190937,8.4,2.28347733698318
"30",200,20,10,0.5,5.7223425190937,8.7,2.38457468134945
"31",200,20,10,0.5,5.7223425190937,9,2.43204691177474
"32",200,20,10,0.5,5.7223425190937,9.3,2.39681771797155
"33",200,20,10,0.5,5.7223425190937,9.6,2.43468700183222
"34",200,20,10,0.5,5.7223425190937,9.9,2.46624423365732
"35",200,20,10,0.5,5.7223425190937,10.2,2.51144957709937
"36",200,20,10,0.5,5.7223425190937,10.5,2.5170067072558
"37",200,20,10,0.5,5.7223425190937,10.8,2.53863878838157
"38",200,20,10,0.5,5.7223425190937,11.1,2.59983715072182
"39",200,20,10,0.5,5.7223425190937,11.4,2.672713619581
"40",200,20,10,0.5,5.7223425190937,11.7,2.6795134904909
"41",200,20,10,0.5,5.7223425190937,12,2.80187522967691
"42",200,20,10,0.5,5.7223425190937,12.3,2.73235460073159
"43",200,20,10,0.5,5.7223425190937,12.6,2.80888513134871
"44",200,20,10,0.5,5.7223425190937,12.9,2.90082465269833
"45",200,20,10,0.5,5.7223425190937,13.2,2.9379473072738
"46",200,20,10,0.5,5.7223425190937,13.5,2.90853923782373
"47",200,20,10,0.5,5.7223425190937,13.8,2.96171952271457
"48",200,20,10,0.5,5.7223425190937,14.1,3.08268769975268
"49",200,20,10,0.5,5.7223425190937,14.4,3.04096418519666
"50",200,20,10,0.5,5.7223425190937,14.7,3.05449604007825
"51",200,20,10,0.5,5.7223425190937,15,3.13946246115092
"52",200,20,10,0.5,5.7223425190937,15.3,3.19894352656056
"53",200,20,10,0.5,5.7223425190937,15.6,3.23592004605437
"54",200,20,10,0.5,5.7223425190937,15.9,3.20884555068824
"55",200,20,10,0.5,5.7223425190937,16.2,3.31211987289354
"56",200,20,10,0.5,5.7223425190937,16.5,3.30443541440777
"57",200,20,10,0.5,5.7223425190937,16.8,3.3219740107448
"58",200,20,10,0.5,5.7223425190937,17.1,3.43265380751026
"59",200,20,10,0.5,5.7223425190937,17.4,3.45184689904751
"60",200,20,10,0.5,5.7223425190937,17.7,3.43940999565307
"61",200,20,10,0.5,5.7223425190937,18,3.44597785229406
"62",200,20,10,0.5,5.7223425190937,18.3,3.51560593978993
"63",200,20,10,0.5,5.7223425190937,18.6,3.4732247945341
"64",200,20,10,0.5,5.7223425190937,18.9,3.60878565449427
"65",200,20,10,0.5,5.7223425190937,19.2,3.57696995122121
"66",200,20,10,0.5,5.7223425190937,19.5,3.62067925506721
